timestamp,handshake_num,status,handshake_cycles
1777138953,1,success,3440811
1777138954,2,success,4123482
1777138955,3,success,4218786
1777138956,4,success,3676101
1777138957,5,success,5471367
1777138958,6,success,4487241
1777138959,7,success,4809387
1777138960,8,success,5263830
1777138961,9,success,3842454
1777138962,10,success,2540274
1777138963,11,success,2804307
1777138964,12,success,4093320
1777138965,13,success,4992339
1777138966,14,success,4400880
1777138967,15,success,3368112
1777138968,16,success,4974189
1777138969,17,success,16636356
1777138970,18,success,31684521
1777138971,19,success,32125467
1777138972,20,success,57092277
1777138973,21,success,42216240
1777138974,22,success,4797771
1777138975,23,success,19848873
1777138976,24,success,5875287
1777138977,25,success,4519911
1777138978,26,success,5102889
1777138979,27,success,18955299
1777138980,28,success,4189779
1777138981,29,success,24399408
1777138982,30,success,23844513
1777138983,31,success,37193145
1777138984,32,success,3315840
1777138985,33,success,5040552
1777138986,34,success,3881790
1777138987,35,success,4158165
1777138988,36,success,4402530
1777138989,37,success,3396558
1777138990,38,success,3771636
1777138991,39,success,4231755
1777138992,40,success,4063620
1777138993,41,success,4293531
1777138994,42,success,4091868
1777138995,43,success,4500111
1777138996,44,success,4852947
1777138997,45,success,4861758
1777138998,46,success,4015374
